2018/01/04 16:16:48 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5322: Image acquisition: timeout in operator grab_image
2018/01/04 16:19:04 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5322: Image acquisition: timeout in operator grab_image
2018/01/04 16:19:22 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5322: Image acquisition: timeout in operator grab_image
2018/01/04 16:23:41 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5322: Image acquisition: timeout in operator grab_image
2018/01/04 16:23:48 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5322: Image acquisition: timeout in operator grab_image
2018/01/04 16:44:28 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:44:28 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:51:54 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:51:54 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:51:57 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:51:57 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:02 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:02 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:05 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:05 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:08 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:08 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:08 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:08 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:08 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:09 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:11 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:11 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:15 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:15 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 16:52:16 - CoreCV.Camera.Void .ctor(System.String, System.String): HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 16:52:16 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
